Name,BEDROCK_DEPTH,LANDFORM,LITHOLOGY,SOIL,RELIEF_I,RUNOFFPERC,BIOME,rho_1,rho_2,rho_3
tm_wc,0.97125,SP,SC4,ARa,24.0,0.85,Fynbos,4.142941,0.6033859,1.604106
tm_lim,0.596,SP,MA2,LXh,43.0,0.14,Savanna,56.28372,10.63041,51.19607
tm_gp,0.53533,TV,MA1,LXh,40.0,1.48,Grassland,236.1389,248.9337,8.97725
ig_daysons,0.33361,LP,UE,CMx,16.0,0.39,Nama Karoo,3357.314,2608.452,2073.314
ig_mvwc,0.38881,LP,II1,LPq,16.0,1.48,Grassland,815.0135,2835.958,978.7358
ig_ndpg,0.38881,LP,II1,LPq,16.0,1.48,Grassland,489.4498,229.7049,141.2558
ig_sirius,0.33361,LP,UE,CMx,16.0,0.39,Nama Karoo,937.7655,903.7123,471.6817
ig_vopak,0.8405,LP,SC2,ACp,26.0,1.48,Grassland,1471.974,3356.675,2451.814
jr_1,0.09681,SM,SC4,LPq,89.0,0.2,Succulent Karoo,40.01347,7.623856,18.92047
jr_2,0.09681,SM,SC4,LPq,89.0,0.2,Fynbos,159.0274,3.336882,10.01287
jr_3,0.09681,SM,SC4,LPq,89.0,0.2,Succulent Karoo,53.99184,43.64098,1.50047
jr_4,0.09681,SM,SC4,LPq,89.0,0.2,Fynbos,105.8534,1.747438,1.642533
jr_5,0.09681,SM,SC4,LPq,89.0,0.2,Fynbos,84.69333,6.012516,20.0596
jr_6,0.09681,SM,SC4,LPq,89.0,0.2,Succulent Karoo,58.95062,20.85611,3.730285
jr_7,0.09681,SM,SC4,LPq,89.0,0.2,Succulent Karoo,140.9313,8.665051,88.14484
tm_gibb_1,0.5871,SP,SC3,RGd,89.0,0.75,Grassland,53.99254,72.3744,87.19389
tm_gibb_2,0.5871,SP,SC3,RGd,89.0,0.75,Grassland,70.35596,405.2569,83.46339
tm_gibb_3,0.5871,SP,SC3,RGd,89.0,0.75,Thicket,25.36445,19.37025,54.17161
tm_wilmar,0.53533,TV,MA1,LXh,40.0,1.31,Grassland,58.75778,166.838,65.66283
br_1,1.04175,LP,SC,ARa,14.0,1.79,Thicket,4462.933,233.6302,1857.454
br_2,1.04175,LP,SC,ARa,14.0,1.79,Thicket,146.461,12.52829,8.251018
br_3,0.2037,LP,SC1,SCk,12.0,0.38,Nama Karoo,349.3481,557.1102,256.6819
br_4_l1,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,88.46725,5.196944,1870.684
br_4_m1,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,53.18348,262.9627,217.5569
br_4_m2,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,156.0858,251.4794,11.34122
br_4_m3,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,133.4863,266.1381,164.1235
br_4_s1,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,220.02,938.4016,385.356
br_4_s2,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,236.8809,286.2987,157.7732
br_4_s3,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,100.024,195.9018,122.2322
br_4_s4,0.14333,LP,SC1,CMc,23.0,0.92,Succulent Karoo,222.2061,1549.314,429.6554
gt_bishop_g,0.3275,LP,SC4,LVk,10.0,0.87,Grassland,61.33606,100.7925,10.71188
gt_lapalala,0.73692,SP,SC2,ACh,49.0,0.29,Savanna,3881.438,15531.95,8754.759
gt_ogies_1,0.985,LP,SC2,ACh,25.0,0.32,Grassland,794.1946,339.7898,7118.615
gt_ogies_2,0.985,LP,SC2,ACh,25.0,0.32,Grassland,199.6482,231.452,2330.526
gt_ogies_3,0.985,LP,SC2,ACh,25.0,0.32,Grassland,548.5412,408.7832,136.1411
gt_rhino,0.91222,LP,SC,LVf,21.0,1.31,Savanna,708.0765,205.1844,298.6394
ter_wl_1,0.6785,LP,II1,CMe,8.0,0.45,Savanna,2571.683,2971.396,54005.57
ter_wl_2,0.41615,SH,II1,CMx,23.0,0.45,Savanna,2381.247,1950.491,3159.878
ter_wl_3,0.41615,SH,II1,CMx,23.0,0.45,Savanna,3191.271,1443.501,4929.258
ter_wl_4,0.41615,SH,II1,CMx,23.0,0.45,Savanna,2814.859,1210.099,4977.912
ter_wl_5,0.6785,LP,II1,CMe,8.0,0.45,Savanna,2678.336,2388.98,7115.811
ter_wl_6,0.41615,SH,II1,CMx,23.0,0.45,Savanna,2292.67,1742.492,3475.442
ter_wl_7,0.41615,SH,II1,CMx,23.0,0.45,Savanna,2540.704,1244.412,2966.94
ter_wl_8,0.41615,SH,II1,CMx,23.0,0.45,Savanna,1126.202,16038.38,5654.851
ter_ds1,1.04175,LP,SC,ARa,14.0,1.79,Thicket,92.50184,4.650734,256.0038
ter_ds2,0.716,SP,SC2,LXh,25.0,1.48,Grassland,58.67425,6.233667,100.1004
ter_ds3,1.0105,LP,SC,ARa,32.0,0.85,Fynbos,50.25999,61.99817,58.86561
ter_ds4,0.97125,SP,SC4,ARa,24.0,0.85,Fynbos,46.90398,817.8914,440.948
ter_ds5,0.97125,SP,SC4,ARa,24.0,0.85,Fynbos,206.849,470.2677,11.92627
ter_ds6,0.97125,SP,SC4,ARa,24.0,0.85,Fynbos,1202.251,24.02907,17.81027
ter_ds7_1,0.45255,LP,IA1,SNh,60.0,0.36,Forest,72.72506,5.63192,418.894
ter_ds7_2,0.45255,LP,IA1,SNh,60.0,0.36,Forest,74.74219,5.598386,14.44518
ter_ds8_1,0.45255,LP,IA1,SNh,60.0,0.36,Forest,279.0538,7.722833,26.25867
ter_ds8_2,0.45255,LP,IA1,SNh,60.0,0.36,Forest,61.10397,36.50011,3.757483
ter_ds11_1,0.83612,SH,SC4,NTr,36.0,1.31,Grassland,267.991,92.57238,112.431
ter_ds11_2,0.83612,SH,SC4,NTr,36.0,1.31,Grassland,148.2938,182.8755,2.489519
ter_ds12_1,0.46894,LP,MA2,PTa,52.0,1.31,Grassland,1267.059,98.75972,604.3402
ter_ds12_2,0.46894,LP,MA2,PTa,52.0,1.31,Grassland,818.7074,61.22511,85.58445
